epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.067,2.25968,4.10828,1.46714,0.27454,0.235,0.13823,0.07632,1.79156,3.58882,1.2328,0.00010564,0.00010564,0.00010564
2,698.194,1.60683,2.59609,1.14486,0.42182,0.3215,0.31708,0.18778,1.39286,2.53264,1.07282,0.000195373,0.000195373,0.000195373
3,1043.54,1.50391,2.19322,1.0898,0.45614,0.47386,0.53253,0.35387,1.30216,1.99653,1.01116,0.000263088,0.000263088,0.000263088
4,1405.19,1.42241,1.83747,1.07086,0.69806,0.53851,0.63219,0.39115,1.32696,1.80172,1.0332,0.000308786,0.000308786,0.000308786
5,1747.79,1.40392,1.66427,1.05718,0.75291,0.5317,0.68973,0.43332,1.24274,1.47919,0.98735,0.000332466,0.000332466,0.000332466
6,2116.7,1.38176,1.47649,1.06289,0.73568,0.63078,0.67387,0.4343,1.21658,1.29628,0.96391,0.00028078,0.00028078,0.00028078
7,2502.78,1.37039,1.43234,1.04757,0.85949,0.55115,0.80559,0.52458,1.18883,1.2642,0.95972,0.000225736,0.000225736,0.000225736
8,2883.18,1.32626,1.272,1.05052,0.86099,0.65871,0.85526,0.56422,1.18393,1.06609,0.96601,0.000170692,0.000170692,0.000170692
9,3239.28,1.32484,1.17706,1.03737,0.90444,0.6414,0.81337,0.54475,1.1452,1.01415,0.9593,0.000115648,0.000115648,0.000115648
10,3630.83,1.32865,1.16871,1.02652,0.88103,0.66551,0.84432,0.56817,1.15746,1.00015,0.96205,6.0604e-05,6.0604e-05,6.0604e-05
